Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Device_Power_Up","vdd_core",721101,"",1,1,"vdd_core",1,"9759135",0.0154706,"V","F",1.0563,***,"061324001"
"supply_short_HT","supply_short_HT_vcs_pll",221102,"",1,1,"vcs_pll",1,"9759135",0.16731,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"",1,1,"vcs_pm_1",1,"9759135",0.202834,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"",1,1,"vcs_pm_2",1,"9759135",0.209462,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"",1,1,"vcsio_pll",1,"9759135",0.0339723,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"",1,1,"vcsio_ts",1,"9759135",0.0308606,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"",1,1,"vcsio_vs_1",1,"9759135",0.0235087,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"",1,1,"vcsio_vs_2",1,"9759135",0.0420063,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"",1,1,"vdd_io_clk",1,"9759135",0.129025,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vdd_pll",221106,"",1,1,"vdd_pll",1,"9759135",0.124928,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"",1,1,"vddio_io_clk",1,"9759135",0.0233343,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vddio_pll",221112,"",1,1,"vddio_pll",1,"9759135",0.00118574,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vddio_rx",221113,"",1,1,"vddio_rx",1,"9759135",1.21873,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vddio_tx",221114,"",1,1,"vddio_tx",1,"9759135",1.16791,"mA","P",0.186789,***,""
"supply_short_HT","supply_short_HT_vdd_core",221101,"",1,1,"vdd_core",1,"9759135",5258.63,"mA","P",0.186789,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"",1,1,"io_req_pad_size_0",1,"9759135",0.670894,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"",1,1,"io_req_pad_data_30",1,"9759135",0.670667,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"",1,1,"io_req_pad_data_13",1,"9759135",0.671317,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"",1,1,"io_req_pad_addr_5",1,"9759135",0.672026,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"",1,1,"io_req_pad_size_1",1,"9759135",0.67078,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"",1,1,"io_req_pad_addr_9",1,"9759135",0.671389,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"",1,1,"dft_scan_scan_out_pad_o_4",1,"9759135",0.23042,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"",1,1,"io_req_pad_data_8",1,"9759135",0.671763,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"",1,1,"io_req_pad_data_4",1,"9759135",0.672032,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"",1,1,"io_rsp_pad_data_30",1,"9759135",0.230875,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"",1,1,"io_rsp_pad_data_26",1,"9759135",0.23132,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"",1,1,"io_req_pad_data_18",1,"9759135",0.671179,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"",1,1,"io_req_pad_addr_8",1,"9759135",0.671763,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"",1,1,"io_req_pad_addr_4",1,"9759135",0.671824,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"",1,1,"io_rsp_pad_data_21",1,"9759135",0.23012,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"",1,1,"io_req_pad_data_1",1,"9759135",0.672638,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"",1,1,"tap_tck_pad_i",1,"9759135",0.672715,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"",1,1,"io_rsp_pad_size_1",1,"9759135",0.231454,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"",1,1,"tap_tdi_pad_i",1,"9759135",0.672284,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"",1,1,"dft_scan_scan_out_pad_o_2",1,"9759135",0.230053,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"",1,1,"io_rsp_pad_addr_valid",1,"9759135",0.231283,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"",1,1,"io_rsp_pad_data_7",1,"9759135",0.23235,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"",1,1,"io_req_pad_addr_2",1,"9759135",0.672446,"V","P",0.183565,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"",1,1,"io_req_pad_addr_15",1,"9759135",0.671458,"V","P",0.183565,***,""
