Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0997595,0.0997595,0.0997595,0,***,***,***,0,0,1.46674,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0186355,0.0186355,0.0186355,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0217683,0.0217683,0.0217683,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0229914,0.0229914,0.0229914,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",0.00877761,0.00877761,0.00877761,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.0055331,0.0055331,0.0055331,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.00521601,0.00521601,0.00521601,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",0.00183115,0.00183115,0.00183115,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.011372,0.011372,0.011372,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.0111126,0.0111126,0.0111126,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.0119251,0.0119251,0.0119251,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",0.00126792,0.00126792,0.00126792,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0449192,0.0449192,0.0449192,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.103582,0.103582,0.103582,0,***,***,***,0,0,0.221905,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",452.626,452.626,452.626,0,***,***,***,0,0,0.221905,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.758102,0.758102,0.758102,0,***,***,***,0,0,0.359152,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.758045,0.758045,0.758045,0,***,***,***,0,0,0.359152,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.757914,0.757914,0.757914,0,***,***,***,0,0,0.359152,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.757993,0.757993,0.757993,0,***,***,***,0,0,0.359152,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.758119,0.758119,0.758119,0,***,***,***,0,0,0.359152,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.757899,0.757899,0.757899,0,***,***,***,0,0,0.359152,***
